id	sentence	e1_mention	e2_mention	relation
757_SECTIME59	 You may take showers ( no baths ) after your dressings have been removed from your wounds . Michael Morgan MD 43-508 Completed by : Justin RAO MD 71-039 2018-03-09 @ 0842 Signed electronically by : DR.	[take showers | OCCURRENCE]	[2018-03-09 | DATE]	After
108_TL106	 The patient had a PICC line placed and will continue a 8 week course of antibiotics 	[8 week | DURATION]	[a PICC line | TREATMENT]	After
517_TL61	 In Monica at Hallmark Health System , pt was seen by the Trauma service where a CT of the neck revealed no fracture ( however , the c-collar was maintained secondary to pain ) . Had fall pta with ? fx on initial CT , neg fx on f/u ct .	[the c-collar | TREATMENT]	[fall | OCCURRENCE]	After
233_SECTIME73	 Welch with an echocardiogram on 2015-07-24 in a meeting to discuss risk stratification for sudden cardiac death and possible ICD placement .Admission Date : 2015-06-04 Discharge Date : 2015-06-08 Service : CCU HISTORY OF THE PRESENT ILLNESS : The patient is a 57 - year-old female with a history of hypertension and hypercholesterolemia but no prior coronary artery disease history who presented with chest pain .	[ICD placement | TREATMENT]	[2015-06-08 | DATE]	After
802_SECTIME272	 He is scheduled to follow up with urology to address this issue .Admission Date : 2017-09-03 Discharge Date : 2017-10-10 Service : MEDICINE History of Present Illness : 70 y/o male with h/o CAD s/p LAD PTCA 33 yrs ago , COPD , T2DM , and AICD pocket infection who presented to the Juan on 2017-09-03 with worsening SOB x 5 days and feeling ' cloudy .	[follow up | OCCURRENCE]	[2017-10-10 | DATE]	After
517_TL113	 Expected prolonged extubation course given COPD history , as with colon CA resection surgery . Had expected prolonged post-op extubation in PACU given COPD history , as with colon CA resection surgery .	[resection surgery | TREATMENT]	[colon CA | PROBLEM]	After
227_TL267	 The patient was bolused with NS and did not required pressors . # PPX - SQ Heparin during this admission , PPI .	[bolused | TREATMENT]	[admission | OCCURRENCE]	After
72_TL64	 He describes a negative PPD one year prior to admission when he was in prison for one week . His PPD has been negative one year prior to admission , PPD was rechecked during this admission and was negative .	[PPD | TEST]	[His PPD | TEST]	After
581_SECTIME60	 This will be followed by a trial of Coumadin , and then by mitral commissurotomy or replacement and probable tricuspid annuloplasty by Dr.ADMISSION DATE : 11-03-93 DISCHARGE DATE : 11-06-93 HISTORY OF PRESENT ILLNESS : This 68-year-old patient of Dr.	[tricuspid annuloplasty | TREATMENT]	[11-06-93 | DATE]	After
787_TL37	 He was diuresed towards his pre-op weight . He tolerated the procedure well and was transferred to the CSRU for invasive monitoring in stable condition .	[diuresed | TREATMENT]	[the procedure | TREATMENT]	After
492_TL88	 Physical therapy saw the patient and cleared the patient for discharge 	[cleared | OCCURRENCE]	[Physical therapy | TREATMENT]	After
172_TL22	 The mass appears to be cystic in nature and has been aspirated at least 3 times , which decrease in size each time . Thyroid cyst was aspirated with removal of 300cc of fluid .	[decrease | OCCURRENCE]	[aspirated | TREATMENT]	After
491_TL92	 His hematocrit subsequently bumped to greater than 30 and was discharged with hematocrit of 32 on 11-7-93 	[discharged | OCCURRENCE]	[bumped | OCCURRENCE]	After
358_TL92	 The patient was seen in consultation by the Electrophysiology service , Dr. His intra-aortic balloon pump was weaned the following day and he was transferred out of the Surgical Intensive Care Unit .	[consultation | OCCURRENCE]	[transferred | OCCURRENCE]	After
756_TL83	 Upon further review of Dr. HOSPITAL COURSE : On admission , a CT scan of the head with and without contrast was performed , showing a missing posterior arch at C-1 and metallic clips at the craniocervical junction consistent with prior surgical intervention .	[further review | OCCURRENCE]	[a CT scan of the head | TEST]	After
656_SECTIME41	 He was admitted to the Short Stay Unit , given Ancef and Gentamicin per the team for antibiotic prophylaxis and observed overnight .Admission Date : 06/16/1997 Discharge Date : 06/18/1997 HISTORY OF PRESENT ILLNESS : This is a 70 year old gentleman with metastatic rectal cancer who presented with biliary obstruction .	[Gentamicin | TREATMENT]	[06/16/1997 | DATE]	After
11_TL210	 They therefore felt a rapid steroid taper was indicated and topical Erythromycin if desired by the patient . Dermatology was consulted and they felt that this was most likely steroid acne .	[a rapid steroid taper | TREATMENT]	[steroid acne | PROBLEM]	After
167_Sectime10	 Then referred for CABG Brief Hospital Course : 69 yo M with known Atrial fibrillation and coronary artery disease admitted preop for transition fro Coumadin to Heparin .Admission Date : 2019-06-25 Discharge Date : 2019-07-01 Service : CARDIOTHORACIC History of Present Illness : 69yoM with OA having workup for knee replacements found to be in Afib , had stress test that was positive followed by cardiac catheterization which revealed severe 3VD .	[CABG | TREATMENT]	[2019-06-25 | DATE]	After
392_TL31	 He was admitted to the trauma intensive care unit due to his tachycardia which was not resolved with pain medication 	[the trauma intensive care unit | CLINICAL_DEPT]	[admitted | OCCURRENCE]	After
637_SECTIME66	 She brought by EMS to Nantucket Cottage Hospital for furher evaluation . Brief Hospital Course : The patient was admitted to Nantucket Cottage Hospital on 2013-03-27 following a motor vehicle crash as described previously .	[furher evaluation | TEST]	[2013-03-27 | DATE]	After
371_TL65	 Her postoperative course was unremarkable . An abdominal wall hernia was also repaired .	[Her postoperative course | OCCURRENCE]	[repaired | TREATMENT]	After
402_TL153	 After this , the patient had no further problems with her rate control . She was maintained on a heparin gtt for bridge to coumadin while on the floor after this was cleared by IR and urology .	[further problems | PROBLEM]	[this | OCCURRENCE]	After
233_SECTIME72	 Welch with an echocardiogram on 2015-07-24 in a meeting to discuss risk stratification for sudden cardiac death and possible ICD placement .Admission Date : 2015-06-04 Discharge Date : 2015-06-08 Service : CCU HISTORY OF THE PRESENT ILLNESS : The patient is a 57 - year-old female with a history of hypertension and hypercholesterolemia but no prior coronary artery disease history who presented with chest pain .	[sudden cardiac death | PROBLEM]	[2015-06-08 | DATE]	After
263_TL128	 GASTROINTESTINAL : His stools were noted to be Guaiac positive at the outside hospital and there was still concern for possible GI bleed given continued Guaiac positive stools during this admission and a slight drop in his hematocrit from 39 to 33 	[GI bleed | PROBLEM]	[Guaiac positive stools | PROBLEM]	After
752_TL86	 Infectious disease : Blood culture was sent but he was never started on antibiotics .Admission Date : 2015-06-05 Discharge Date : 2015-06-10 Service : Neonatology HISTORY : The patient is a 1,770 gram male infant born by stat cesarean section for fetal bradycardia at 30-6/7 weeks gestation to a 29-year-old gravida 3 , para 0 now 1 mother .	[Blood culture | TEST]	[born | OCCURRENCE]	After
333_TL56	 The patient did well and her suprapubic tube was clamped starting on postoperative day four . She underwent an open laparoscopy , total abdominal hysterectomy , bilateral salpingo-oophorectomy , lysis of adhesions , Birch procedure , and suprapubic Foley catheter placement and Jackson-Pratt drain placement .	[her suprapubic tube | TREATMENT]	[suprapubic Foley catheter placement | TREATMENT]	After
72_SECTIME80	 He was told to call a doctor or come to the emergency room should he have any further troubles , breathing , chest pain , or fevers .Admission Date : 06/26/2004 Discharge Date : 07/08/2004 HISTORY OF PRESENT ILLNESS : The patient is a 38-year-old gentleman , Spanish-speaking , from the Taheimpromong , with no significant past medical history , who presents with shortness of breath x 2 months as well as a dry cough x 1 month .	[any further troubles , breathing | OCCURRENCE]	[07/08/2004 | DATE]	After
463_TL11	 After that , he was on Lupron and Nilandron hormone therapy . He received transurethral resection of the prostate one year ago because of persistent urinary retention .	[Lupron | TREATMENT]	[transurethral resection of the prostate | TREATMENT]	After
517_Sectime85	 ) Of note , a NGT by Xray was not in correct position ? lungs -> possibly used for medication administration this AM .Admission Date : 2016-03-22 Discharge Date : 2016-04-04 Service : MEDICINE History of Present Illness : 75 yo F with CAD s/p MI x4 ( s/p LAD stent.	[Xray | TEST]	[2016-03-22 | DATE]	After
487_SECTIME77	 The patient was subsequently cleared for discharge to home with instructions for follow-up on postoperative day number five , 2010-06-12 	[follow-up | OCCURRENCE]	[2010-06-12 | DATE]	After
607_TL301	 She will complete two more days of Levaquin therapy as an outpatient . FLOLAN ADMINISTRATION : At the time of discharge , the patient was tolerating a Flolan dose of 5 nanograms per kilogram per minute .	[two more days | DURATION]	[the time of discharge | DATE]	After
142_TL76	 Fluid , electrolytes and nutrition : Infant was initially nothing by mouth receiving 80 cc per kilogram per day of D10W intravenously . Mother presented on day of delivery with preterm labor , cervical dilation , therefore delivered by repeat cesarean section .	[nothing by mouth | TREATMENT]	[delivered | TREATMENT]	After
142_TL27	 At that time she was admitted and received a full course of betamethasone at 24 weeks and remained in house until delivery . PERINATAL HISTORY : Mother is a 29 year-old gravida 4 , para 1 mother , Marian Jane conception , EDC 2016-07-08 .	[24 weeks | DURATION]	[conception | OCCURRENCE]	After
297_TL56	 The patient did not qualify for routine ophthalmology exams due to his gestational age at birth 	[routine ophthalmology exams | TEST]	[birth | OCCURRENCE]	After
2_TL62	 His initial blood gases on 40% 02 was P02 102 , PC02 115 , PH 7. By the time the patient arrived at the Oaksgekesser/ Memorial Hospital Emergency Room he was in moderate respiratory distress .	[His initial blood gases | TEST]	[moderate respiratory distress | PROBLEM]	After
732_SECTIME22	 The patient also now complains of increased right upper quadrant / right rib cage pain and new headache .Admission Date : 2010-08-30 Discharge Date : 2010-08-31 Service : MEDICINE HISTORY OF THE PRESENT ILLNESS : This is a 33 - year-old Asian-Caucasian male with a history of Type 1 diabetes , asthma , alcohol abuse , and personality disorder / depression admitted on 2010-08-28 for persistent hypoglycemia .	[increased right upper quadrant / right rib cage pain | PROBLEM]	[2010-08-30 | DATE]	After
556_TL43	 The patient underwent a number of tests . The patient was admitted to the Intermediate Care Unit in the Neurology Intensive Care Unit .	[tests | TEST]	[admitted | OCCURRENCE]	After
812_TL120	 Given stress dose steroids empirically and Sanchez stim showed cortisol of 9. Patient was found to have a new humerus fracture distal to the hardware on film this admission .	[stress dose steroids | TREATMENT]	[admission | OCCURRENCE]	After
287_TL76	 Patient to get CBC checked with PCP this week as below . I personally talked with Dr Pannell at the time of discharge to update him with the hospital events .	[this week | DURATION]	[discharge | OCCURRENCE]	After
701_TL32	 On hospital day the patient underwent conscious sedation in the operating room where lumbar puncture was performed . On the night of admission lumbar puncture was attempted on the floor , but we were unable to get cerebral spinal fluid due to difficulty with compliance with the patient who was severely agitated and would not comply with the examination .	[hospital day | DATE]	[the night | DATE]	After
732_SECTIME70	 We had also requested a Social Work consult regarding this .Admission Date : 2010-08-30 Discharge Date : 2010-08-31 Service : MEDICINE HISTORY OF THE PRESENT ILLNESS : This is a 33 - year-old Asian-Caucasian male with a history of Type 1 diabetes , asthma , alcohol abuse , and personality disorder / depression admitted on 2010-08-28 for persistent hypoglycemia .	[a Social Work consult | OCCURRENCE]	[2010-08-31 | DATE]	Before
103_TL34	 On post-op day #3 , the patient 's pacing wires were removed , and his lopressor was started 	[the patient 's pacing wires | TREATMENT]	[post-op day #3 | DATE]	Before
762_SECTIME5	 No complications .Admission Date : 2016-11-21 Discharge Date : 2016-11-30 Service : CMED CCU CHIEF COMPLAINT AND HISTORY OF PRESENT ILLNESS : Mr.	[complications | PROBLEM]	[2016-11-30 | DATE]	Before
11_Sectime4	 EKG showed sinus tachycardia at 100 and echo revealed pericardial effusion , a 10 mm pulsus paradoxus was noted , and no evidence of tamponade .Admission Date : 06/11/1991 Discharge Date : 06/22/1991 HISTORY OF PRESENT ILLNESS : Patient is a 28 year old gravida IV , para 2 with metastatic cervical cancer admitted with a question of malignant pericardial effusion .	[tamponade | PROBLEM]	[06/22/1991 | DATE]	Before
87_SECTIME22	 A fine needle aspirate of this mass reportedly revealed giant cell tumor .Admission Date : 01/12/1991 Discharge Date : 01/20/1991 HISTORY OF PRESENT ILLNESS : The patient was in her usual state of excellent health until July of 1991 when she first noted a left clavicular mass .	[reported | EVIDENTIAL]	[01/12/1991 | DATE]	Before
332_Sectime169	 While she was not taking adequate pos , she was on IV levothyroxine .Admission Date : 2019-07-17 Discharge Date : 2019-07-27 Service : MEDICINE History of Present Illness : This is a 39 year-old female with a history of diabetes type I on an insulin pump , anemia , hypothyroidism , gastroparesis , GERD , who was transferred from Mediplex Rehab Hospital Hospital for further management of hypoxic respiratory failure .	[IV levothyroxine | TREATMENT]	[2019-07-27 | DATE]	Before
482_SECTIME30	 After discussion with primary oncologist goals of care where change to comfort .Admission Date : 2020-05-23 Discharge Date : 2020-05-29 Service : MEDICINE History of Present Illness : 64 F with breast CA s/p mastectomy 17 y ago with local recurrence leading to paralysis of L arm ~ 5-6 y ago .	[primary oncologist | CLINICAL_DEPT]	[2020-05-29 | DATE]	Before
257_SECTIME79	 Pregnancy was uncomplicated until the day of delivery when mother presented to HealthSouth New England Rehab Hospital Hospital with bleeding and was sent home .Admission Date : 2013-11-01 Discharge Date : 2013-12-10 Service : Neonatology HISTORY : Mychelia Boyd was born at 28-2/7 weeks gestation and delivered due to unstoppable premature labor .	[Pregnancy | OCCURRENCE]	[2013-11-01 | DATE]	Before
441_TL100	 He was diuresed initially with one dose of Lasix and subsequently with one dose of torsemide after it was discovered that he developed thrombocytopenia on a prior admission in reaction to Lasix . D : Pump : Patient , during this hospital course , became hypervolemic likely due to his diuretics being held and due to his receiving blood products .	[diuresed | TREATMENT]	[his diuretics | TREATMENT]	Before
347_SECTIME6	 BP meds held while was unstable .Admission Date : 2015-06-29 Discharge Date : 2015-07-09 Service : MEDICINE History of Present Illness : 74 yo M with lung cancer DVT who presents with 1 day of substernal chest pain .	[BP meds | TREATMENT]	[2015-07-09 | DATE]	Before
762_SECTIME26	 Nothing by mouth initially with morphine as needed for pain and Ativan around the clock for delirium tremens prophylaxis .Admission Date : 2016-11-21 Discharge Date : 2016-11-30 Service : CMED CCU CHIEF COMPLAINT AND HISTORY OF PRESENT ILLNESS : Mr.	[delirium tremens prophylaxis | TREATMENT]	[2016-11-30 | DATE]	Before
687_SECTIME51	 At this hospital he underwent an I and D ( 03-17 ) of a right foot infection and subsequently underwent  re-exploration ( 03-18 ) for developing necrotizing fascitis .Admission Date : 2016-03-18 Discharge Date : 2016-04-01 Service :  SURGERY History of Present Illness : _Mr.	[necrotizing fascitis | PROBLEM]	[2016-03-18 | DATE]	Before
617_SECTIME156	 Unfortunately , oligoclonal bands could not be sent from the CSF ( lab sent CSF for other studies and there was not enough left over for OCB s).Admission Date : 2015-09-20 Discharge Date : 2015-09-30 Service : NEUROLOGY History of Present Illness : Ms.	[the CSF | TEST]	[2015-09-30 | DATE]	Before
253_SECTIME82	 An EEG was performed .Admission Date : 2017-09-22 Discharge Date : 2017-09-27 Service : CMED CSRU HISTORY : Peggy Hammock is a full term baby boy born at 38 1/7 weeks by repeat cesarean section to a 34 year old gravida III , now para II mother .	[An EEG | TEST]	[2017-09-27 | DATE]	Before
581_TL33	 She has been treated with Vanceril for chronic obstructive pulmonary disease . MEDICATIONS ON ADMISSION : Digoxin 0.	[chronic obstructive pulmonary disease | PROBLEM]	[ADMISSION | OCCURRENCE]	Before
93_Sectime10	 Via echocardiogram , found to have aortic stenosis .Admission Date : 2013-02-12 Discharge Date : 2013-02-16 Service : CARDIOTHORACIC HISTORY OF PRESENT ILLNESS : The patient was referred from an outside hospital with a chief complaint of increasing shortness of breath and tires easily with exertion .	[found | EVIDENTIAL]	[2013-02-12 | DATE]	Before
681_SECTIME71	 There was no diplopia , visual loss , speech abnormality or sensory change in her history .ADMISSION DATE : 03/24/97 DISCHARGE DATE : 03/28/97 HISTORY OF PRESENT ILLNESS : The patient is a 31-year-old right-handed female with right-sided greater than left-sided weakness and difficulty walking for several days .	[visual loss | PROBLEM]	[03/24/97 | DATE]	Before
38_SECTIME37	 CMED CSRU transfer .Admission Date : 2012-05-21 Discharge Date : 2012-05-25 Service : CMED CCU HISTORY OF PRESENT ILLNESS : This is a 55-year-old female with multiple prior admissions for pneumonia , COPD , asthma exacerbation , over 3 weeks of upper respiratory like infection unremitting with increased nebulizer treatments at home .	[CMED CSRU | CLINICAL_DEPT]	[2012-05-25 | DATE]	Before
326_SECTIME86	 A family meeting was held on 5-2-98 and it was decided that the patient should be made comfort care only .ADMISSION DATE : 04/27/1998 DISCHARGE DATE : 05/02/1998 HISTORY OF PRESENT ILLNESS : The patient is a 72 year old white male with a history of coronary artery disease , status post a four vessel coronary artery bypass graft in 1983 , pulmonary hypertension , hepatitis C positive cirrhosis history with history of portal hypertension and status post an upper gastrointestinal bleed on 4-10-98 , who presents from Sondi Memorial for work up of pulmonary infiltrates , acute renal failure and pulmonary hypertension .	[comfort care only | TREATMENT]	[05/02/1998 | DATE]	Before
131_SECTIME69	 It was treated with gent and Cipro .Admission Date : 01/05/1994 Discharge Date : 01/25/1994 HISTORY OF PRESENT ILLNESS : The patient is a 49 year old woman with a metastatic adenocarcinoma of the breast who is status post high dose chemotherapy with PBSE and CCSS support ending June 1994 .	[gent | TREATMENT]	[01/05/1994 | DATE]	Before
61_SECTIME44	 Neurosurgery was consulted , however the neurosurgeons felt that there was no surgical option , since even in the case of cerebellar swelling , there would be no improvement from decompensation .Admission Date : 06/09/1998 Discharge Date : 06/12/1998 HISTORY OF PRESENT ILLNESS : The patient is an 82 year-old right handed gentleman who has a past medical history of hypertension and tobacco use presented to the emergency room with acute change in mental status .	[improvement | OCCURRENCE]	[06/12/1998 | DATE]	Before
227_TL55	 CT abd showed an 8 mm right proximal ureteral stone with right-sided hydronephrosis and inflammatory stranding , in addition to pyelonephritis of the left kidney without left sided hydronephrosis . A CT abdomen was performed which did not demonstrate any retroperitoneal bleed .	[right-sided hydronephrosis | PROBLEM]	[CT abd | TEST]	Before
287_SECTIME20	 IV PPI was given and the GI team was consulted and she was scheduled for colonoscopy and EGD on the morning of 6/8 .Admission Date : 2018-08-02 Discharge Date : 2018-08-08 Service : MEDICINE History of Present Illness : Patient is a 77 year old female with a past medical history significant for GI bleeding secondary to arteriovenous malformations , who presents with maroon stool and a hematocrit drop .	[colonoscopy | TEST]	[2018-08-08 | DATE]	Before
